Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flujo Completo 20 pies,Chrome 80.0.3987.132,,,2020-03-10 12:11:24,2020-03-10 12:17:49,"6m - 24,702s",FAILED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Crear_Pedido_20pies,Chrome 80.0.3987.132,,,2020-03-10 12:11:24,2020-03-10 12:12:11,"46,940s",FAILED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Crear_Pedido20pies.xlsx,Chrome 80.0.3987.132,,,2020-03-10 12:11:25,2020-03-10 12:11:25,"0,029s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 12:11:25,2020-03-10 12:11:25,"0,764s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 12:11:25,2020-03-10 12:12:11,"45,753s",FAILED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Aprobaciones,Chrome 80.0.3987.132,,,2020-03-10 12:12:11,2020-03-10 12:12:15,"4,176s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Aprobar"")",Chrome 80.0.3987.132,,,2020-03-10 12:12:12,2020-03-10 12:12:15,"3,922s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Aprobar_Ventas,Chrome 80.0.3987.132,,,2020-03-10 12:12:15,2020-03-10 12:13:51,"1m - 35,567s",FAILED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/AprobacionesPedidos.xlsx,Chrome 80.0.3987.132,,,2020-03-10 12:12:16,2020-03-10 12:12:16,"0,000s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 12:12:16,2020-03-10 12:12:16,"0,043s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 12:12:16,2020-03-10 12:13:51,"1m - 35,274s",FAILED
,,,,,,,
