Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flujo Completo 20 pies,Chrome 80.0.3987.132,,,2020-03-10 14:30:31,2020-03-10 15:07:44,"37m - 12,826s",FAILED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Crear_Pedido_20pies,Chrome 80.0.3987.132,,,2020-03-10 14:30:31,2020-03-10 14:39:24,"8m - 52,340s",PASSED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/Crear_Pedido20pies.xlsx,Chrome 80.0.3987.132,,,2020-03-10 14:30:32,2020-03-10 14:30:32,"0,045s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 14:30:32,2020-03-10 14:30:33,"1,340s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 14:30:33,2020-03-10 14:39:24,"8m - 50,312s",PASSED
,,,,,,,
Test Cases/Generar_Excels_Secuencias/TC_Generar_Excel_Aprobaciones,Chrome 80.0.3987.132,,,2020-03-10 14:39:24,2020-03-10 14:39:35,"11,176s",PASSED
"python.ejecutarAleatoriosPython.runPython(""Aprobar"")",Chrome 80.0.3987.132,,,2020-03-10 14:39:24,2020-03-10 14:39:35,"10,978s",PASSED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Aprobar_Ventas,Chrome 80.0.3987.132,,,2020-03-10 14:39:35,2020-03-10 14:45:06,"5m - 31,324s",FAILED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/AprobacionesPedidos.xlsx,Chrome 80.0.3987.132,,,2020-03-10 14:39:35,2020-03-10 14:39:35,"0,001s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 14:39:35,2020-03-10 14:39:35,"0,124s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 14:39:35,2020-03-10 14:45:06,"5m - 30,896s",FAILED
,,,,,,,
Test Cases/Secuencias de Ejecucion/TC_Aprobar_Produccion,Chrome 80.0.3987.132,,,2020-03-10 14:45:06,2020-03-10 14:50:10,"5m - 4,084s",FAILED
archivo = $RunConfiguration.getProjectDir()/Pedidos/DataExcel/AprobacionesPedidos.xlsx,Chrome 80.0.3987.132,,,2020-03-10 14:45:06,2020-03-10 14:45:06,"0,000s",PASSED
"excelData = getExcelDataWithDefaultSheet(archivo, ""Sheet1"", true)",Chrome 80.0.3987.132,,,2020-03-10 14:45:06,2020-03-10 14:45:07,"0,026s",PASSED
"for ([Index = 1, Index <= excelData.getRowNumbers(), (Index++)])",Chrome 80.0.3987.132,,,2020-03-10 14:45:07,2020-03-10 14:50:10,"5m - 3,688s",FAILED
,,,,,,,
